Time,CPU Usage (%),Memory Usage (MB)
1677484694.935096,0.0,28.98828125
1677484695.9351442,20.9,30.53125
1677484696.934816,21.0,30.53125
1677484697.934803,23.0,30.7890625
1677484698.9348354,22.1,30.7890625
1677484699.9352243,21.8,30.7890625
1677484700.9350753,19.1,30.7890625
1677484701.9350564,21.0,30.7890625
1677484702.934858,24.1,30.7890625
1677484703.9355514,21.0,30.7890625
1677484704.935043,23.0,31.2109375
1677484705.9350328,20.0,31.2109375
1677484706.9350371,21.9,31.2109375
1677484707.9348803,27.2,31.2109375
1677484708.9349039,27.8,31.2109375
1677484709.934777,28.2,31.2109375
1677484710.9348042,30.9,31.2109375
