Time,CPU Usage (%),Memory Usage (MB)
1677484822.0432937,0.0,27.4375
1677484823.0431516,11.2,27.4375
1677484824.0433536,9.9,27.6953125
1677484825.0432858,10.0,27.6953125
1677484826.0431309,10.1,27.6953125
1677484827.043201,10.0,27.6953125
1677484828.0432653,10.9,27.6953125
1677484829.0433915,11.0,27.6953125
1677484830.0435808,12.0,27.6953125
1677484831.043279,11.1,27.6953125
1677484832.0433123,11.9,27.6953125
1677484833.0433812,10.9,27.6953125
1677484834.0432973,11.1,27.6953125
1677484835.0435576,11.9,27.6953125
1677484836.0432215,11.1,27.6953125
1677484837.04325,9.9,27.6953125
1677484838.0433216,10.0,28.01171875
