Time,CPU Usage (%),Memory Usage (MB)
1677486277.4980896,0.0,81.96484375
1677486278.498057,53.1,81.96875
1677486279.4981024,52.0,81.96875
1677486280.4988651,67.0,82.01953125
1677486281.4979997,72.1,82.05859375
1677486282.4982843,79.0,82.1171875
1677486283.4982564,72.5,82.12109375
1677486284.4981594,72.6,82.12109375
1677486285.498233,71.0,82.16796875
1677486286.4980977,73.8,82.203125
1677486287.4981017,70.1,82.203125
1677486288.4981413,69.8,82.203125
1677486289.4983416,66.2,82.203125
1677486290.4980285,71.2,82.203125
1677486291.4981744,70.7,82.203125
1677486292.4984682,72.7,82.203125
1677486293.4982946,68.8,82.203125
1677486294.4983578,69.5,82.203125
1677486295.4980788,71.0,82.203125
1677486296.4981637,71.9,82.203125
1677486297.4981189,66.3,82.203125
1677486298.498294,70.9,82.203125
1677486299.4983156,70.6,82.203125
1677486300.498362,70.0,82.203125
1677486301.4982293,67.4,82.203125
1677486302.4981809,74.0,82.82421875
1677486303.4981272,73.1,83.078125
1677486304.4982014,73.5,83.078125
1677486305.4982133,63.2,83.078125
